min_temp,max_temp,Δtemp,min_sal,max_sal,Δsal,days_passed
30,30,0,32,32,0,5
30,30,0,34,34,0,4
28,28,0,35,35,0,33
28,28,0,35,35,0,32
28,28,0,35,35,0,31
28,28,0,35,35,0,30
28,28,0,35,35,0,29
28,28,0,35,35,0,28
28,28,0,35,35,0,27
28,28,0,35,35,0,26
28,28,0,35,35,0,25
28,28,0,35,35,0,24
28,28,0,35,35,0,23
28,28,0,35,35,0,22
28,28,0,35,35,0,21
28,28,0,35,35,0,20
28,28,0,35,35,0,19
28,28,0,35,35,0,18
28,28,0,35,35,0,17
28,28,0,35,35,0,16
28,28,0,35,35,0,15
28,28,0,35,35,0,14
28,28,0,35,35,0,13
28,28,0,35,35,0,12
28,28,0,35,35,0,11
28,28,0,35,35,0,10
28,28,0,35,35,0,9
28,28,0,35,35,0,8
28,28,0,35,35,0,7
28,28,0,35,35,0,6
28,28,0,35,35,0,5
28,28,0,35,35,0,4
28,28,0,35,35,0,33
28,28,0,35,35,0,32
28,28,0,35,35,0,31
28,28,0,35,35,0,30
28,28,0,35,35,0,29
28,28,0,35,35,0,28
28,28,0,35,35,0,27
